id,category,title_or_collection,author_or_editor,translator,first_published,era,origin,original_language,style_genre,tone,typical_length_estimate,source_type,standard_ebooks_repo_verified,other_sources_to_check,us_pd_basis,author_death_year,life_plus_70_status_2026,content_notes,blind_mode_fit,test_priority,why_it_fits
90,American,"""A Rose for Emily"" (Forum, April 1930)",William Faulkner,,1930,Interwar (1915–1930),USA,English,Southern gothic,Macabre,Short,Single story,,Forum magazine scans (verify — newly PD in 2026),Published before 1931 → US public domain,1962,No — clears Jan 1 2033,Racial slurs,Med,C,Newly PD classic with a famous final reveal
91,American,Laments for the Living,Dorothy Parker,,1930,Interwar (1915–1930),USA,English,Urban satire,"Acid, sad",Short,Collection,,HathiTrust (verify — newly PD in 2026),Published before 1931 → US public domain,1967,No — clears Jan 1 2038,,Med,C,"Newly PD; short, brutal, funny"
92,American,Three Lives,Gertrude Stein,,1909,Fin de siècle (1890–1914),USA,English,Experimental,"Repetitive, hypnotic",Long,Novellas,https://github.com/standardebooks/gertrude-stein_three-lives,,Published before 1931 → US public domain,1946,Yes,Period racial language; long,High,C,Stylistic outlier for variety
93,British / Irish / Commonwealth,"Sherlock Holmes story collections (Adventures, Memoirs, Return, His Last Bow, Case-Book)",Arthur Conan Doyle,,1892–1927,Fin de siècle (1890–1914),UK,English,Detective,Brisk,Medium,Collections,https://github.com/standardebooks/arthur-conan-doyle_the-adventures-of-sherlock-holmes | https://github.com/standardebooks/arthur-conan-doyle_the-memoirs-of-sherlock-holmes | https://github.com/standardebooks/arthur-conan-doyle_the-return-of-sherlock-holmes | https://github.com/standardebooks/arthur-conan-doyle_his-last-bow | https://github.com/standardebooks/arthur-conan-doyle_the-casebook-of-sherlock-holmes,,Published before 1931 → US public domain,1930,Yes,,Low,A,"56 stories, each a complete puzzle with a solve"
94,British / Irish / Commonwealth,Brigadier Gerard stories,Arthur Conan Doyle,,1896–1903,Fin de siècle (1890–1914),UK,English,Comic Napoleonic adventure,Swaggering,Medium,Collection,https://github.com/standardebooks/arthur-conan-doyle_brigadier-gerard-stories,,Published before 1931 → US public domain,1930,Yes,,High,C,Doyle nobody guesses
95,British / Irish / Commonwealth,Short fiction,H.G. Wells,,1894–1910s,Fin de siècle (1890–1914),UK,English,"Scientific romance, fantasy",Inventive,Short–medium,Collection,https://github.com/standardebooks/h-g-wells_short-fiction,,Published before 1931 → US public domain,1946,Yes,,Med,A,"""The Country of the Blind"", ""The Door in the Wall"""
96,British / Irish / Commonwealth,Just So Stories,Rudyard Kipling,,1902,Fin de siècle (1890–1914),UK/India,English,Fables,Playful,Short,Collection,https://github.com/standardebooks/rudyard-kipling_just-so-stories,,Published before 1931 → US public domain,1936,Yes,Some period racial language,Low,C,Read-aloud rhythm
97,British / Irish / Commonwealth,The Jungle Book,Rudyard Kipling,,1894,Fin de siècle (1890–1914),UK/India,English,Animal tales,Mythic,Medium,Collection,https://github.com/standardebooks/rudyard-kipling_the-jungle-book,,Published before 1931 → US public domain,1936,Yes,,Low,C,Self-contained stories despite fame
98,British / Irish / Commonwealth,Plain Tales from the Hills,Rudyard Kipling,,1888,Victorian (1850–1889),UK/India,English,Anglo-India,Cynical,Flash–short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1936,Yes,Imperialist framing,Med,C,"Very short, very tight"
99,British / Irish / Commonwealth,"Short fiction (Chronicles of Clovis, Beasts and Super-Beasts…)",Saki (H.H. Munro),,1904–1916,Fin de siècle (1890–1914),UK,English,"Satire, macabre wit",Wicked,Flash–short,Collection,https://github.com/standardebooks/saki_short-fiction,,Published before 1931 → US public domain,1916,Yes,Occasional period prejudice,Med,A,"""The Open Window"" — ideal length, killer endings"
100,British / Irish / Commonwealth,Lord Arthur Savile's Crime and Other Stories,Oscar Wilde,,1891,Fin de siècle (1890–1914),UK/Ireland,English,Comic gothic,Epigrammatic,Medium,Collection,https://github.com/standardebooks/oscar-wilde_lord-arthur-saviles-crime-and-other-stories,,Published before 1931 → US public domain,1900,Yes,,Low,B,"""The Canterville Ghost"""
101,British / Irish / Commonwealth,"Children's Stories (The Happy Prince, A House of Pomegranates)",Oscar Wilde,,1888–1891,Victorian (1850–1889),UK/Ireland,English,Literary fairy tales,"Beautiful, sad",Short,Collection,https://github.com/standardebooks/oscar-wilde_childrens-stories,,Published before 1931 → US public domain,1900,Yes,,Med,B,"Poetic, adult-grade fairy tales"
102,British / Irish / Commonwealth,Short fiction (Ghost Stories of an Antiquary…),M.R. James,,1904–1925,Fin de siècle (1890–1914),UK,English,Antiquarian ghost story,"Dry, creeping",Medium,Collection,https://github.com/standardebooks/m-r-james_short-fiction,,Published before 1931 → US public domain,1936,Yes,,Med,A,The gold standard of the ghost story
103,British / Irish / Commonwealth,Short fiction (In a Glass Darkly…),J. Sheridan Le Fanu,,1839–1872,Romantic (1800–1849),Ireland,English,Gothic,Brooding,Medium–long,Collection,https://github.com/standardebooks/j-sheridan-le-fanu_short-fiction,,Published before 1931 → US public domain,1873,Yes,,High,B,"""Carmilla"", ""Green Tea"""
104,British / Irish / Commonwealth,John Silence stories,Algernon Blackwood,,1908,Fin de siècle (1890–1914),UK,English,Occult detective,Atmospheric,Long,Collection,https://github.com/standardebooks/algernon-blackwood_john-silence-stories,,Published before 1931 → US public domain,1951,Yes,Runs long,High,C,Nature-horror mood
105,British / Irish / Commonwealth,Short fiction,Arthur Machen,,1890s–1920s,Fin de siècle (1890–1914),UK/Wales,English,"Weird, mystical",Hallucinatory,Medium,Collection,https://github.com/standardebooks/arthur-machen_short-fiction,,Published before 1931 → US public domain,1947,Yes,,High,B,"""The White People""; poetic dread"
106,British / Irish / Commonwealth,Ghost stories,E.F. Benson,,1912–1930s,Fin de siècle (1890–1914),UK,English,Ghost stories,Cosy-creepy,Short–medium,Collection,https://github.com/standardebooks/e-f-benson_ghost-stories,,Published before 1931 → US public domain,1940,Yes,,High,B,Consistent length and quality
107,British / Irish / Commonwealth,The Lady of the Barge,W.W. Jacobs,,1902,Fin de siècle (1890–1914),UK,English,"Macabre, comic",Twisty,Short,Collection,https://github.com/standardebooks/w-w-jacobs_the-lady-of-the-barge,,Published before 1931 → US public domain,1943,Yes,,Med,A,"""The Monkey's Paw"" — perfect pause mechanic"
108,British / Irish / Commonwealth,The Innocence of Father Brown,G.K. Chesterton,,1911,Fin de siècle (1890–1914),UK,English,Paradox detective,"Playful, profound",Medium,Collection,https://github.com/standardebooks/g-k-chesterton_the-innocence-of-father-brown,,Published before 1931 → US public domain,1936,Yes,,Med,A,Each story a paradox with a reveal
109,British / Irish / Commonwealth,"Short fiction (Jeeves, Mulliner, Ukridge, golf, school stories)",P.G. Wodehouse,,1910s–1930,Fin de siècle (1890–1914),UK,English,Comic,"Sunny, absurd",Medium,Collections,https://github.com/standardebooks/p-g-wodehouse_short-fiction | https://github.com/standardebooks/p-g-wodehouse_jeeves-stories | https://github.com/standardebooks/p-g-wodehouse_mr-mulliner-stories | https://github.com/standardebooks/p-g-wodehouse_ukridge-stories | https://github.com/standardebooks/p-g-wodehouse_golf-stories,,Published before 1931 → US public domain,1975,No — clears Jan 1 2046,,Low,A,Pure joy; huge volume
110,British / Irish / Commonwealth,Fifty-One Tales,Lord Dunsany,,1915,Interwar (1915–1930),Ireland,English,Fantastic parables,Mythic,Flash,Collection,https://github.com/standardebooks/lord-dunsany_fifty-one-tales,,Published before 1931 → US public domain,1957,No — clears Jan 1 2028,,High,B,"Flash fiction — a ""short day"" option"
111,British / Irish / Commonwealth,The Book of Wonder / The Gods of Pegana,Lord Dunsany,,1905–1912,Fin de siècle (1890–1914),Ireland,English,Invented mythology,"Ornate, dreamy",Short,Collection,https://github.com/standardebooks/lord-dunsany_the-book-of-wonder_sidney-h-sime | https://github.com/standardebooks/lord-dunsany_the-gods-of-pegana,,Published before 1931 → US public domain,1957,No — clears Jan 1 2028,,High,B,Poetic fantasy; closest to your poetry vein
112,British / Irish / Commonwealth,The Garden Party / Bliss / The Dove's Nest,Katherine Mansfield,,1920–1923,Interwar (1915–1930),New Zealand/UK,English,Modernist,"Luminous, sharp",Short,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1923,Yes,,High,A,Arguably the best 10-minute stories in English
113,British / Irish / Commonwealth,Dubliners,James Joyce,,1914,Fin de siècle (1890–1914),Ireland,English,Modernist realism,Quiet epiphanies,Short–medium,Linked collection,https://github.com/standardebooks/james-joyce_dubliners,,Published before 1931 → US public domain,1941,Yes,,Med,A,Each story ends on an epiphany — a natural finish line
114,British / Irish / Commonwealth,Monday or Tuesday,Virginia Woolf,,1921,Interwar (1915–1930),UK,English,Experimental sketches,Impressionistic,Flash–short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1941,Yes,,Med,B,"""Kew Gardens""; closest to poetry in prose"
115,British / Irish / Commonwealth,"The Prussian Officer / England, My England",D.H. Lawrence,,1914 / 1922,Fin de siècle (1890–1914),UK,English,Psychological realism,Intense,Medium,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1930,Yes,,Med,B,"Strong, sensory stories"
116,British / Irish / Commonwealth,Tales of Unrest / Typhoon and other stories,Joseph Conrad,,1898 / 1903,Fin de siècle (1890–1914),UK/Poland,English,"Sea, colonial",Brooding,Medium–long,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1924,Yes,Colonial racism,Med,C,Sea stories; some run long
117,British / Irish / Commonwealth,Short fiction (Wessex Tales…),Thomas Hardy,,1888–1913,Victorian (1850–1889),UK,English,Rural tragedy,Fatalistic,Medium,Collection,https://github.com/standardebooks/thomas-hardy_short-fiction,,Published before 1931 → US public domain,1928,Yes,,High,B,Folk-ballad stories in prose
118,British / Irish / Commonwealth,New Arabian Nights / The Merry Men,Robert Louis Stevenson,,1882 / 1887,Victorian (1850–1889),UK/Scotland,English,"Adventure, uncanny",Playful to dark,Medium,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1894,Yes,,Med,B,"""Markheim"", ""Olalla"""
119,British / Irish / Commonwealth,Cranford,Elizabeth Gaskell,,1853,Victorian (1850–1889),UK,English,"Village comedy, linked",Gentle,Short,Linked sketches,https://github.com/standardebooks/elizabeth-gaskell_cranford,,Published before 1931 → US public domain,1865,Yes,,High,C,Cosy daily chapters
120,British / Irish / Commonwealth,Short fiction,Anthony Trollope,,1860s–1880s,Victorian (1850–1889),UK,English,Victorian social,Genial,Medium,Collection,https://github.com/standardebooks/anthony-trollope_short-fiction,,Published before 1931 → US public domain,1882,Yes,,High,C,Nobody guesses Trollope wrote short stories
121,British / Irish / Commonwealth,Short fiction,Mary Shelley,,1820s–1830s,Romantic (1800–1849),UK,English,"Gothic, romance",Romantic,Medium,Collection,https://github.com/standardebooks/mary-shelley_short-fiction,,Published before 1931 → US public domain,1851,Yes,,High,C,Surprising beyond Frankenstein
122,British / Irish / Commonwealth,"Short fiction (incl. ""The Machine Stops"")",E.M. Forster,,1904–1920s,Fin de siècle (1890–1914),UK,English,"Fantasy, social",Wry,Medium,Collection,https://github.com/standardebooks/e-m-forster_short-fiction,,Published before 1931 → US public domain,1970,No — clears Jan 1 2041,,High,B,"""The Machine Stops"" predicts the internet"
123,British / Irish / Commonwealth,Short fiction (fairy tales),George MacDonald,,1860s–1890s,Victorian (1850–1889),UK/Scotland,English,Fantasy,Visionary,Medium,Collection,https://github.com/standardebooks/george-macdonald_short-fiction,,Published before 1931 → US public domain,1905,Yes,,High,C,Tolkien/Lewis ancestor
124,British / Irish / Commonwealth,Short fiction (Loveday Brooke),Catherine Louisa Pirkis,,1894,Fin de siècle (1890–1914),UK,English,Female detective,Brisk,Medium,Collection,https://github.com/standardebooks/catherine-louisa-pirkis_short-fiction,,Published before 1931 → US public domain,1910,Yes,,High,C,Early female detective
125,British / Irish / Commonwealth,Poirot Investigates / Partners in Crime,Agatha Christie,,1924 / 1929,Interwar (1915–1930),UK,English,Detective,Clever,Medium,Collections,https://github.com/standardebooks/agatha-christie_poirot-investigates | https://github.com/standardebooks/agatha-christie_partners-in-crime,,Published before 1931 → US public domain,1976,No — clears Jan 1 2047,,Low,A,"Clear puzzles, huge appeal"
126,British / Irish / Commonwealth,The Old Man in the Corner,Baroness Orczy,,1909,Fin de siècle (1890–1914),UK,English,Armchair detective,Puzzle,Medium,Collection,https://github.com/standardebooks/baroness-orczy_the-old-man-in-the-corner,,Published before 1931 → US public domain,1947,Yes,,High,B,Pure reasoning puzzles
127,British / Irish / Commonwealth,The Amateur Cracksman (Raffles),E.W. Hornung,,1899,Fin de siècle (1890–1914),UK,English,Gentleman thief,Dashing,Medium,Collection,https://github.com/standardebooks/e-w-hornung_the-amateur-cracksman,,Published before 1931 → US public domain,1921,Yes,,Med,C,Inverted Holmes
128,British / Irish / Commonwealth,Lord Peter Views the Body,Dorothy L. Sayers,,1928,Interwar (1915–1930),UK,English,Detective,Witty,Medium,Collection,https://github.com/standardebooks/dorothy-l-sayers_lord-peter-views-the-body,,Published before 1931 → US public domain,1957,No — clears Jan 1 2028,,Med,B,"Great puzzles, great voice"
129,British / Irish / Commonwealth,Max Carrados,Ernest Bramah,,1914,Fin de siècle (1890–1914),UK,English,Blind detective,Clever,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1942,Yes,,High,C,A blind detective — fitting for blind mode
130,British / Irish / Commonwealth,Kai Lung's Golden Hours,Ernest Bramah,,1922,Interwar (1915–1930),UK,English,Mock-Chinese frame tales,"Florid, comic",Medium,Frame collection,https://github.com/standardebooks/ernest-bramah_kai-lungs-golden-hours,,Published before 1931 → US public domain,1942,Yes,Orientalist pastiche,High,C,Stylistic oddity
131,British / Irish / Commonwealth,Ashenden,W. Somerset Maugham,,1928,Interwar (1915–1930),UK,English,"Spy stories, linked","Cool, ironic",Medium,Linked collection,https://github.com/standardebooks/w-somerset-maugham_ashenden,,Published before 1931 → US public domain,1965,No — clears Jan 1 2036,,Med,B,Maugham was a master of the magazine story
132,British / Irish / Commonwealth,The Trembling of a Leaf,W. Somerset Maugham,,1921,Interwar (1915–1930),UK/Pacific,English,South Seas,Ironic,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1965,No — clears Jan 1 2036,Colonial framing,Med,C,"""Rain"""
133,British / Irish / Commonwealth,Uncanny Stories,May Sinclair,,1923,Interwar (1915–1930),UK,English,Psychological ghost,Eerie,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1946,Yes,,High,C,Modernist ghost stories
134,British / Irish / Commonwealth,Hauntings,Vernon Lee,,1890,Fin de siècle (1890–1914),UK/Italy,English,Aesthetic ghost stories,Sumptuous,Long,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1935,Yes,,High,C,Art-history haunting
135,British / Irish / Commonwealth,Widdershins,Oliver Onions,,1911,Fin de siècle (1890–1914),UK,English,Psychological ghost,Slow dread,Long,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1961,No — clears Jan 1 2032,,High,C,"""The Beckoning Fair One"""
136,British / Irish / Commonwealth,Carnacki the Ghost-Finder,William Hope Hodgson,,1913,Fin de siècle (1890–1914),UK,English,Occult detective,Pulpy-eerie,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1918,Yes,,High,C,Genre fun
137,British / Irish / Commonwealth,The Untilled Field,George Moore,,1903,Fin de siècle (1890–1914),Ireland,English,Irish rural realism,Melancholy,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1933,Yes,,High,C,Precursor to Dubliners
138,British / Irish / Commonwealth,Irish Fairy Tales,James Stephens,,1920,Interwar (1915–1930),Ireland,English,Retold myth,"Lyrical, funny",Medium,Collection,https://github.com/standardebooks/james-stephens_irish-fairy-tales,,Published before 1931 → US public domain,1950,Yes,,High,B,A poet retelling myth
139,British / Irish / Commonwealth,My People,Caradoc Evans,,1915,Interwar (1915–1930),Wales,English,Satirical realism,Savage,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1945,Yes,,High,C,Scandalous in its day
140,British / Irish / Commonwealth,Sunshine Sketches of a Little Town,Stephen Leacock,,1912,Fin de siècle (1890–1914),Canada,English,Comic linked sketches,Affectionate,Medium,Linked collection,https://github.com/standardebooks/stephen-leacock_sunshine-sketches-of-a-little-town,,Published before 1931 → US public domain,1944,Yes,,High,B,Gentle comedy; each chapter stands alone
141,British / Irish / Commonwealth,Literary Lapses / Nonsense Novels,Stephen Leacock,,1910 / 1911,Fin de siècle (1890–1914),Canada,English,Parody,Absurd,Flash–short,Collections,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1944,Yes,,High,C,Micro-parodies of genres
142,British / Irish / Commonwealth,Chronicles of Avonlea,L.M. Montgomery,,1912,Fin de siècle (1890–1914),Canada,English,Village stories,Warm,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1942,Yes,,Med,C,"Cosy, self-contained"
143,British / Irish / Commonwealth,While the Billy Boils,Henry Lawson,,1896,Fin de siècle (1890–1914),Australia,English,Bush realism,Laconic,Short,Collection,https://github.com/standardebooks/henry-lawson_while-the-billy-boils,,Published before 1931 → US public domain,1922,Yes,Period racial language,High,B,"""The Drover's Wife""; very short"
144,British / Irish / Commonwealth,Bush Studies,Barbara Baynton,,1902,Fin de siècle (1890–1914),Australia,English,Bush gothic,Harsh,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1929,Yes,,High,C,Dark counterpoint to Lawson
145,British / Irish / Commonwealth,Dreams,Olive Schreiner,,1890,Fin de siècle (1890–1914),South Africa,English,Allegories,Visionary,Flash–short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1920,Yes,,High,B,Prose-poem allegories — poetry bridge
146,British / Irish / Commonwealth,The Little Karoo,Pauline Smith,,1925,Interwar (1915–1930),South Africa,English,Rural realism,Austere,Medium,Collection,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1959,No — clears Jan 1 2030,,High,C,"Quiet, biblical cadence"
147,British / Irish / Commonwealth,Spring Sowing,Liam O'Flaherty,,1924,Interwar (1915–1930),Ireland,English,Nature and peasant life,Elemental,Flash–short,Collection,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1984,No — clears Jan 1 2055,,High,C,Short animal/nature stories
148,British / Irish / Commonwealth,Adam & Eve & Pinch Me,A.E. Coppard,,1921,Interwar (1915–1930),UK,English,Folk-modernist,"Odd, lyrical",Short,Collection,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1957,No — clears Jan 1 2028,,High,C,Beloved by story writers
149,British / Irish / Commonwealth,Told After Supper,Jerome K. Jerome,,1891,Fin de siècle (1890–1914),UK,English,Ghost-story parody,Comic,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1927,Yes,,High,C,Parody Christmas ghost stories
150,British / Irish / Commonwealth,The Dolly Dialogues,Anthony Hope,,1894,Fin de siècle (1890–1914),UK,English,Comic dialogues,"Flirty, witty",Flash,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1933,Yes,,High,C,"Very short, all dialogue"
151,British / Irish / Commonwealth,Short fiction,Daphne du Maurier,,1930s–1950s,Interwar (1915–1930),UK,English,Suspense,Unsettling,Medium,Collection,https://github.com/standardebooks/daphne-du-maurier_short-fiction,,US PD via non-renewal — only use items Standard Ebooks/Gutenberg have cleared,1989,No — clears Jan 1 2060,,Med,C,Standard Ebooks-cleared subset only
152,British / Irish / Commonwealth,Short fiction (Peter Rabbit etc.),Beatrix Potter,,1902–1910s,Fin de siècle (1890–1914),UK,English,Children's tales,Crisp,Flash,Collection,https://github.com/standardebooks/beatrix-potter_short-fiction,,Published before 1931 → US public domain,1943,Yes,,Low,C,Palate cleanser
153,Translated,Short fiction (13 vols of tales),Anton Chekhov,Constance Garnett (d.1946),1880s–1904,Victorian (1850–1889),Russia,Russian,Realism,"Tender, ironic",Short–medium,Collection,https://github.com/standardebooks/anton-chekhov_short-fiction_constance-garnett,,Published before 1931 → US public domain,1904,Yes (author); check translator,,High,A,Hundreds of perfect-length stories; the backbone of any story app
154,Translated,Short fiction,Leo Tolstoy,Various,1850s–1900s,Victorian (1850–1889),Russia,Russian,"Parables, realism","Moral, clear",Short–long,Collection,https://github.com/standardebooks/leo-tolstoy_short-fiction_various-translators,,Published before 1931 → US public domain,1910,Yes (author); check translator,,Med,B,"""How Much Land Does a Man Need?"""
155,Translated,A Sportsman's Sketches,Ivan Turgenev,Constance Garnett (d.1946),1852,Victorian (1850–1889),Russia,Russian,Rural sketches,Lyrical,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1883,Yes (author); check translator,,High,B,"Nature-rich, poetic"
156,Translated,Short fiction,Nikolai Gogol,Various,1830s–1840s,Romantic (1800–1849),Russia/Ukraine,Russian,"Absurd, folk-gothic","Grotesque, funny",Medium–long,Collection,https://github.com/standardebooks/nikolai-gogol_short-fiction_various-translators,,Published before 1931 → US public domain,1852,Yes (author); check translator,,Med,B,"""The Nose"", ""The Overcoat"""
157,Translated,White Nights and Other Stories,Fyodor Dostoevsky,Constance Garnett (d.1946),1918,Interwar (1915–1930),Russia,Russian,Psychological,Feverish,Medium–long,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1881,Yes (author); check translator,,Med,C,Short-form Dostoevsky
158,Translated,Short fiction,Leonid Andreyev,Various,1900s–1910s,Fin de siècle (1890–1914),Russia,Russian,"Symbolist, dark",Nightmarish,Medium,Collection,https://github.com/standardebooks/leonid-andreyev_short-fiction_various-translators,,Published before 1931 → US public domain,1919,Yes (author); check translator,,High,C,Russian dread
159,Translated,Short fiction,Aleksandr Kuprin,Various,1890s–1910s,Fin de siècle (1890–1914),Russia,Russian,Realism,Vivid,Medium,Collection,https://github.com/standardebooks/aleksandr-kuprin_short-fiction_various-translators,,Published before 1931 → US public domain,1938,Yes (author); check translator,,High,C,Underrated storyteller
160,Translated,Short fiction (incl. The Gentleman from San Francisco),Ivan Bunin,Various,1900s–1920s,Fin de siècle (1890–1914),Russia,Russian,Lyrical realism,Elegiac,Medium,Collection,https://github.com/standardebooks/ivan-bunin_short-fiction_various-translators,,Published before 1931 → US public domain,1953,Yes (author); check translator,,High,B,Nobel laureate; poetic prose
161,Translated,Short fiction,Vladimir Korolenko,Various,1880s–1900s,Victorian (1850–1889),Russia/Ukraine,Russian,Humanist realism,Warm,Medium,Collection,https://github.com/standardebooks/vladimir-korolenko_short-fiction_various-translators,,Published before 1931 → US public domain,1921,Yes (author); check translator,,High,C,Siberian tales
162,Translated,Short fiction,Vsevolod Garshin,Rowland Smith,1870s–1880s,Victorian (1850–1889),Russia,Russian,"War, madness",Anguished,Short,Collection,https://github.com/standardebooks/vsevolod-garshin_short-fiction_rowland-smith,,Published before 1931 → US public domain,1888,Yes (author); check translator,,High,C,"""The Red Flower"""
163,Translated,Short fiction,Fyodor Sologub,Various,1890s–1910s,Fin de siècle (1890–1914),Russia,Russian,Symbolist,Eerie,Short,Collection,https://github.com/standardebooks/fyodor-sologub_short-fiction_various-translators,,Published before 1931 → US public domain,1927,Yes (author); check translator,,High,C,Decadent Russian
164,Translated,Russian Folktales,A.N. Afanasyev,Leonard A. Magnus,1916,Interwar (1915–1930),Russia,Russian,Folk tales,Mythic,Short,Collection,https://github.com/standardebooks/a-n-afanasyev_russian-folktales_leonard-a-magnus,,Published before 1931 → US public domain,1871,Yes (author); check translator,,High,B,Baba Yaga and friends
165,Translated,Twenty-Six and One and other stories,Maxim Gorky,Various,1890s–1900s,Fin de siècle (1890–1914),Russia,Russian,Social realism,Gritty,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1936,Yes (author); check translator,,High,C,Tramp and worker stories
166,Translated,Red Cavalry,Isaac Babel,Nadia Helstein (1929),1929,Interwar (1915–1930),Russia/Ukraine,Russian,War vignettes,"Brutal, lyrical",Flash,Collection,,HathiTrust (verify 1929 Helstein translation),Published before 1931 → US public domain,1940,Yes (author); check translator,"War violence, antisemitic violence depicted",High,C,"Tiny, dazzling vignettes"
167,Translated,Short fiction,Guy de Maupassant,Various,1880–1891,Victorian (1850–1889),France,French,"Realism, twist","Cynical, precise",Short,Collection,https://github.com/standardebooks/guy-de-maupassant_short-fiction_various-translators,,Published before 1931 → US public domain,1893,Yes (author); check translator,,Med,A,"""The Necklace""; hundreds of ideal-length stories"
168,Translated,Short fiction (Three Tales etc.),Gustave Flaubert,M. Walter Dunne,1877,Victorian (1850–1889),France,French,Realism,Exquisite,Medium–long,Collection,https://github.com/standardebooks/gustave-flaubert_short-fiction_m-walter-dunne,,Published before 1931 → US public domain,1880,Yes (author); check translator,,Med,C,"""A Simple Heart"""
169,Translated,Shorts from Scenes from Private Life,Honoré de Balzac,Various,1830s,Romantic (1800–1849),France,French,Realism,Dense,Medium–long,Collection,https://github.com/standardebooks/honore-de-balzac_shorts-from-scenes-from-private-life_various-translators,,Published before 1931 → US public domain,1850,Yes (author); check translator,,High,C,Balzac in small doses
170,Translated,Carmen / Mateo Falcone and other stories,Prosper Mérimée,Various,1829–1845,Romantic (1800–1849),France,French,Romantic novellas,Dramatic,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1870,Yes (author); check translator,,High,C,"""Mateo Falcone"" is a perfect short"
171,Translated,Letters from My Windmill,Alphonse Daudet,Various,1869,Victorian (1850–1889),France,French,Provençal sketches,"Sunny, wistful",Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1897,Yes (author); check translator,,High,B,"Sunlit, charming, poetic"
172,Translated,Sardonic Tales (Contes cruels),Villiers de l'Isle-Adam,Hamish Miles (1927),1927,Interwar (1915–1930),France,French,Cruel tales,Macabre,Short,Collection,,HathiTrust full view; Internet Archive (verify),Published before 1931 → US public domain,1889,Yes (author); check translator,,High,C,"""Torture by Hope"""
173,Translated,The Attack on the Mill and other stories,Émile Zola,Various,1880s,Victorian (1850–1889),France,French,Naturalism,Stark,Medium,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1902,Yes (author); check translator,,High,C,Zola in short form
174,Translated,Mother of Pearl / Crainquebille,Anatole France,Various,1892–1903,Fin de siècle (1890–1914),France,French,Ironic tales,Wry,Short,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1924,Yes (author); check translator,,High,C,"""The Procurator of Judaea"""
175,Translated,Short fiction,Xavier de Maistre,Various,1790s–1820s,Pre-1800,France/Savoy,French,Philosophical whimsy,Gentle,Medium,Collection,https://github.com/standardebooks/xavier-de-maistre_short-fiction_various-translators,,Published before 1931 → US public domain,1852,Yes (author); check translator,,High,C,"""A Journey Around My Room"" — delightful oddity"
176,Translated,Weird Tales (Hoffmann),E.T.A. Hoffmann,J.T. Bealby,1885,Victorian (1850–1889),Germany,German,Romantic fantastic,Uncanny,Long,Collection,,Project Gutenberg; Wikisource (verify),Published before 1931 → US public domain,1822,Yes (author); check translator,,High,C,"""The Sandman""; runs long"
177,Translated,Short fiction (incl. Death in Venice),Thomas Mann,Various,1900s–1920s,Fin de siècle (1890–1914),Germany,German,Modernist,"Ironic, rich",Medium–long,Collection,https://github.com/standardebooks/thomas-mann_short-fiction_various-translators,,Published before 1931 → US public domain,1955,Yes (author); check translator,,Med,C,"""Tonio Kröger"", ""Tristan"""
